timestamp,Q_sub_maize,Q_sub_manure,Q_sub_grass,pH,VFA,TAC,FOS_TAC,T_digester,Q_gas,CH4_content,Q_ch4,Q_co2,P_gas,P_el,P_th
2024-01-01 00:00:00,15.2,9.8,0.0,7.22,,12.2,0.166,308.41,889.3,57.5,506.2,377.3,1.014,90.1,90.7
2024-01-01 01:00:00,15.6,9.9,-0.1,7.21,1.96,12.6,0.166,308.2,887.0,58.4,528.2,375.0,1.0188,80.9,96.6
2024-01-01 02:00:00,15.2,10.1,-0.1,7.25,1.91,12.6,0.166,308.58,898.0,57.8,515.0,379.1,1.0129,87.5,95.9
2024-01-01 03:00:00,15.4,10.2,0.0,7.21,2.34,12.7,0.166,308.04,907.9,59.2,522.1,373.0,1.0171,88.6,101.1
2024-01-01 04:00:00,16.1,10.3,0.0,7.26,2.22,,0.165,308.53,900.5,58.5,516.5,363.7,1.0172,94.1,90.2
2024-01-01 05:00:00,16.0,10.4,-0.1,7.24,2.27,13.3,0.165,308.24,872.9,59.0,512.6,372.6,1.0139,80.7,100.5
2024-01-01 06:00:00,15.7,10.3,-0.0,7.23,2.19,12.4,0.165,308.08,875.9,59.2,526.5,367.4,1.018,72.1,108.2
2024-01-01 07:00:00,16.2,10.7,0.0,7.2,1.91,12.5,0.165,308.12,892.4,59.1,527.5,362.4,1.0147,88.1,91.2
2024-01-01 08:00:00,16.0,10.4,-0.1,7.21,2.01,12.5,0.165,308.16,870.5,59.7,519.2,356.8,1.0158,96.1,98.9
2024-01-01 09:00:00,16.1,11.0,-0.1,7.28,2.16,12.5,0.165,308.32,875.5,59.3,506.7,351.7,1.0157,93.2,94.6
2024-01-01 10:00:00,16.4,10.7,-0.1,7.27,1.9,12.5,0.164,308.35,880.9,60.1,518.6,352.0,1.0149,88.0,100.0
2024-01-01 11:00:00,15.9,10.4,-0.0,7.19,2.19,13.1,0.164,308.14,863.5,59.0,523.8,356.1,1.0168,84.5,97.9
2024-01-01 12:00:00,16.1,10.4,0.0,7.25,2.05,13.1,0.164,308.26,872.3,59.9,512.2,357.7,1.0167,90.9,94.5
2024-01-01 13:00:00,16.5,10.8,0.1,7.28,2.03,12.6,0.164,308.7,856.1,60.8,521.7,355.0,1.0116,81.9,100.1
2024-01-01 14:00:00,16.4,10.7,0.1,7.16,2.2,12.5,0.164,308.63,862.0,59.4,520.1,345.8,1.0177,89.1,106.6
2024-01-01 15:00:00,16.9,10.9,-0.0,7.27,2.16,12.9,0.164,308.38,870.0,59.6,523.3,342.4,1.0118,89.2,96.5
2024-01-01 16:00:00,16.6,10.9,-0.0,7.21,2.04,12.6,0.164,308.31,849.9,60.3,520.2,346.9,1.0172,91.9,101.0
2024-01-01 17:00:00,16.5,10.8,-0.1,7.27,2.27,13.0,0.163,308.33,869.5,60.1,513.2,339.0,1.0173,100.3,90.9
2024-01-01 18:00:00,17.4,10.7,-0.0,7.2,1.93,12.9,0.163,308.44,864.5,60.2,525.9,347.3,1.0129,88.4,92.5
2024-01-01 19:00:00,16.9,10.6,-0.0,7.15,2.18,12.4,0.163,308.12,870.1,60.2,,345.6,1.0143,83.8,99.5
2024-01-01 20:00:00,17.0,10.8,0.0,7.16,2.18,13.3,0.163,308.28,866.9,60.2,517.8,344.8,1.0129,86.2,104.5
2024-01-01 21:00:00,16.6,11.1,-0.1,7.24,2.05,13.4,0.163,308.01,878.7,60.4,512.1,341.1,1.0147,77.4,98.8
2024-01-01 22:00:00,16.8,11.0,0.1,7.25,2.14,12.7,0.163,308.43,867.0,60.0,514.7,350.5,1.0145,82.8,95.4
2024-01-01 23:00:00,17.0,10.7,0.2,7.19,1.9,12.8,0.162,308.49,,59.5,511.8,347.5,1.0167,84.1,96.9
2024-01-02 00:00:00,16.6,11.0,-0.0,7.27,2.23,,0.162,308.27,869.1,59.9,515.8,346.4,1.0177,83.5,90.7
2024-01-02 01:00:00,17.0,11.1,0.0,7.16,2.06,13.0,0.162,308.69,874.8,60.4,526.8,341.3,1.0179,86.9,99.9
2024-01-02 02:00:00,16.7,10.8,0.1,7.24,2.01,13.1,0.162,308.14,1171.8,59.2,508.1,354.6,1.014,81.9,101.2
2024-01-02 03:00:00,16.7,11.0,-0.0,7.18,2.25,13.5,0.162,308.1,,58.6,506.5,363.8,1.0147,91.6,94.5
2024-01-02 04:00:00,16.5,11.0,0.0,7.21,1.99,12.9,0.162,308.45,868.0,59.5,524.8,365.6,1.0118,86.0,94.4
2024-01-02 05:00:00,17.2,10.8,0.0,7.24,1.88,12.7,0.162,308.62,870.7,58.7,514.6,359.6,1.0135,85.9,98.1
